"symbol","date","open","high","low","close","volume","adjusted"
"AAPL","2021-01-04",133.520004,133.610001,126.760002,129.410004,143301900,128.804825
"AAPL","2021-01-05",128.889999,131.740005,128.429993,131.009995,97664900,130.397324
"AAPL","2021-01-06",127.720001,131.050003,126.379997,126.599998,155088000,126.007957
"AAPL","2021-01-07",128.360001,131.630005,127.860001,130.919998,109578200,130.307755
"AAPL","2021-01-08",132.429993,132.630005,130.229996,132.050003,105158200,131.432465
"AAPL","2021-01-11",129.190002,130.169998,128.5,128.979996,100384500,128.376831
"AAPL","2021-01-12",128.5,129.690002,126.860001,128.800003,91951100,128.197662
"AAPL","2021-01-13",128.759995,131.449997,128.490005,130.889999,88636800,130.277893
"AAPL","2021-01-14",130.800003,131,128.759995,128.910004,90221800,128.307175
"AAPL","2021-01-15",128.779999,130.220001,127,127.139999,111598500,126.545425
"AAPL","2021-01-19",127.779999,128.710007,126.940002,127.830002,90757300,127.232201
"AAPL","2021-01-20",128.660004,132.490005,128.550003,132.029999,104319500,131.412567
"AAPL","2021-01-21",133.800003,139.669998,133.589996,136.869995,120150900,136.229919
"AAPL","2021-01-22",136.279999,139.850006,135.020004,139.070007,114459400,138.419647
"AAPL","2021-01-25",143.070007,145.089996,136.539993,142.919998,157611700,142.251633
"AAPL","2021-01-26",143.600006,144.300003,141.369995,143.160004,98390600,142.490524
"AAPL","2021-01-27",143.429993,144.300003,140.410004,142.059998,140843800,141.39566
"AAPL","2021-01-28",139.520004,141.990005,136.699997,137.089996,142621100,136.448898
"AAPL","2021-01-29",135.830002,136.740005,130.210007,131.960007,177523800,131.34288
"AAPL","2021-02-01",133.75,135.380005,130.929993,134.139999,106239800,133.51268
"AAPL","2021-02-02",135.729996,136.309998,134.610001,134.990005,83305400,134.358719
"AAPL","2021-02-03",135.759995,135.770004,133.610001,133.940002,89880900,133.313644
"AAPL","2021-02-04",136.300003,137.399994,134.589996,137.389999,84183100,136.747498
"AAPL","2021-02-05",137.350006,137.419998,135.860001,136.759995,75693800,136.323837
"AAPL","2021-02-08",136.029999,136.960007,134.919998,136.910004,71297200,136.473373
"AAPL","2021-02-09",136.619995,137.880005,135.850006,136.009995,76774200,135.576233
"AAPL","2021-02-10",136.479996,136.990005,134.399994,135.389999,73046600,134.958206
"AAPL","2021-02-11",135.899994,136.389999,133.770004,135.130005,64280000,134.699051
"AAPL","2021-02-12",134.350006,135.529999,133.690002,135.369995,60145100,134.938263
"AAPL","2021-02-16",135.490005,136.009995,132.789993,133.190002,80576300,132.765244
"AAPL","2021-02-17",131.25,132.220001,129.470001,130.839996,97918500,130.422729
"AAPL","2021-02-18",129.199997,130,127.410004,129.710007,96856700,129.296326
"AAPL","2021-02-19",130.240005,130.710007,128.800003,129.869995,87668800,129.455826
"AAPL","2021-02-22",128.009995,129.720001,125.599998,126,103916400,125.598167
"AAPL","2021-02-23",123.760002,126.709999,118.389999,125.860001,158273000,125.458611
"AAPL","2021-02-24",124.940002,125.559998,122.230003,125.349998,111039900,124.950233
"AAPL","2021-02-25",124.68,126.459999,120.540001,120.989998,148199500,120.604141
"AAPL","2021-02-26",122.589996,124.849998,121.199997,121.260002,164560400,120.873283
"AAPL","2021-03-01",123.75,127.93,122.790001,127.790001,116307900,127.382462
"AAPL","2021-03-02",128.410004,128.720001,125.010002,125.120003,102260900,124.72097
"AAPL","2021-03-03",124.809998,125.709999,121.839996,122.059998,112966300,121.670723
"AAPL","2021-03-04",121.75,123.599998,118.620003,120.129997,178155000,119.74688
"AAPL","2021-03-05",120.980003,121.940002,117.57,121.419998,153766600,121.032768
"AAPL","2021-03-08",120.93,121,116.209999,116.360001,154376600,115.988907
"AAPL","2021-03-09",119.029999,122.059998,118.790001,121.089996,129525800,120.703819
"AAPL","2021-03-10",121.690002,122.169998,119.449997,119.980003,111943300,119.597374
"AAPL","2021-03-11",122.540001,123.209999,121.260002,121.959999,103026500,121.571045
"AAPL","2021-03-12",120.400002,121.169998,119.160004,121.029999,88105100,120.644012
"AAPL","2021-03-15",121.410004,124,120.419998,123.989998,92403800,123.594574
"AAPL","2021-03-16",125.699997,127.220001,124.720001,125.57,115227900,125.169533
"AAPL","2021-03-17",124.050003,125.860001,122.339996,124.760002,111932600,124.362122
"AAPL","2021-03-18",122.879997,123.18,120.32,120.529999,121229700,120.145607
"AAPL","2021-03-19",119.900002,121.43,119.68,119.989998,185549500,119.60733
"AAPL","2021-03-22",120.330002,123.870003,120.260002,123.389999,111912300,122.99649
"AAPL","2021-03-23",123.330002,124.239998,122.139999,122.540001,95467100,122.1492
"AAPL","2021-03-24",122.82,122.900002,120.07,120.089996,88530500,119.707008
"AAPL","2021-03-25",119.540001,121.660004,119,120.589996,98844700,120.205414
"AAPL","2021-03-26",120.349998,121.480003,118.919998,121.209999,94071200,120.823441
"AAPL","2021-03-29",121.650002,122.580002,120.730003,121.389999,80819200,121.002861
"AAPL","2021-03-30",120.110001,120.400002,118.860001,119.900002,85671900,119.517616
"AAPL","2021-03-31",121.650002,123.519997,121.150002,122.150002,118323800,121.760445
"AAPL","2021-04-01",123.660004,124.18,122.489998,123,75089100,122.607727
"AAPL","2021-04-05",123.870003,126.160004,123.07,125.900002,88651200,125.498489
"AAPL","2021-04-06",126.5,127.129997,125.650002,126.209999,80171300,125.807495
"AAPL","2021-04-07",125.830002,127.919998,125.139999,127.900002,83466700,127.492104
"AAPL","2021-04-08",128.949997,130.389999,128.520004,130.360001,88844600,129.94426
"AAPL","2021-04-09",129.800003,133.039993,129.470001,133,106686700,132.575836
"AAPL","2021-04-12",132.520004,132.850006,130.630005,131.240005,91420000,130.821457
"AAPL","2021-04-13",132.440002,134.660004,131.929993,134.429993,91266500,134.001266
"AAPL","2021-04-14",134.940002,135,131.660004,132.029999,87222800,131.608932
"AAPL","2021-04-15",133.820007,135,133.639999,134.5,89347100,134.07106
"AAPL","2021-04-16",134.300003,134.669998,133.279999,134.160004,84922400,133.732147
"AAPL","2021-04-19",133.509995,135.470001,133.339996,134.839996,94264200,134.409958
"AAPL","2021-04-20",135.020004,135.529999,131.809998,133.110001,94812300,132.685501
"AAPL","2021-04-21",132.360001,133.75,131.300003,133.5,68847100,133.074234
"AAPL","2021-04-22",133.039993,134.149994,131.410004,131.940002,84566500,131.519226
"AAPL","2021-04-23",132.160004,135.119995,132.160004,134.320007,78657500,133.891632
"AAPL","2021-04-26",134.830002,135.059998,133.559998,134.720001,66905100,134.290359
"AAPL","2021-04-27",135.009995,135.410004,134.110001,134.389999,66015800,133.961395
"AAPL","2021-04-28",134.309998,135.020004,133.080002,133.580002,107760100,133.153992
"AAPL","2021-04-29",136.470001,137.070007,132.449997,133.479996,151101000,133.054306
"AAPL","2021-04-30",131.779999,133.559998,131.070007,131.460007,109839500,131.040756
"AAPL","2021-05-03",132.039993,134.070007,131.830002,132.539993,75135100,132.117294
"AAPL","2021-05-04",131.190002,131.490005,126.699997,127.849998,137564700,127.442261
"AAPL","2021-05-05",129.199997,130.449997,127.970001,128.100006,84000900,127.691475
"AAPL","2021-05-06",127.889999,129.75,127.129997,129.740005,78128300,129.326233
"AAPL","2021-05-07",130.850006,131.259995,129.479996,130.210007,78973300,130.015213
"AAPL","2021-05-10",129.410004,129.539993,126.809998,126.849998,88071200,126.660225
"AAPL","2021-05-11",123.5,126.269997,122.769997,125.910004,126142800,125.721642
"AAPL","2021-05-12",123.400002,124.639999,122.25,122.769997,112172300,122.586334
"AAPL","2021-05-13",124.580002,126.150002,124.260002,124.970001,105861300,124.783043
"AAPL","2021-05-14",126.25,127.889999,125.849998,127.449997,81918000,127.259331
"AAPL","2021-05-17",126.82,126.93,125.169998,126.269997,74244600,126.081093
"AAPL","2021-05-18",126.559998,126.989998,124.779999,124.849998,63342900,124.663223
"AAPL","2021-05-19",123.160004,124.919998,122.860001,124.690002,92612000,124.503464
"AAPL","2021-05-20",125.230003,127.720001,125.099998,127.309998,76857100,127.119537
"AAPL","2021-05-21",127.82,128,125.209999,125.43,79295400,125.242355
"AAPL","2021-05-24",126.010002,127.940002,125.940002,127.099998,63092900,126.909851
"AAPL","2021-05-25",127.82,128.320007,126.32,126.900002,72009500,126.710159
"AAPL","2021-05-26",126.959999,127.389999,126.419998,126.849998,56575900,126.660225
"AAPL","2021-05-27",126.440002,127.639999,125.080002,125.279999,94625600,125.092575
"AAPL","2021-05-28",125.57,125.800003,124.550003,124.610001,71311100,124.423584
"AAPL","2021-06-01",125.080002,125.349998,123.940002,124.279999,67637100,124.09407
"AAPL","2021-06-02",124.279999,125.239998,124.050003,125.059998,59278900,124.872902
"AAPL","2021-06-03",124.68,124.849998,123.129997,123.540001,76229200,123.355186
"AAPL","2021-06-04",124.07,126.160004,123.849998,125.889999,75169300,125.701668
"AAPL","2021-06-07",126.169998,126.32,124.830002,125.900002,71057600,125.711655
"AAPL","2021-06-08",126.599998,128.460007,126.209999,126.739998,74403800,126.550392
"AAPL","2021-06-09",127.209999,127.75,126.519997,127.129997,56877900,126.939812
"AAPL","2021-06-10",127.019997,128.190002,125.940002,126.110001,71186400,125.921341
"AAPL","2021-06-11",126.529999,127.440002,126.099998,127.349998,53522400,127.159477
"AAPL","2021-06-14",127.82,130.539993,127.07,130.479996,96906500,130.28479
"AAPL","2021-06-15",129.940002,130.600006,129.389999,129.639999,62746300,129.44606
"AAPL","2021-06-16",130.369995,130.889999,128.460007,130.149994,91815000,129.955292
"AAPL","2021-06-17",129.800003,132.550003,129.649994,131.789993,96721700,131.592834
"AAPL","2021-06-18",130.710007,131.509995,130.240005,130.460007,108953300,130.264832
"AAPL","2021-06-21",130.300003,132.410004,129.210007,132.300003,79663300,132.102081
"AAPL","2021-06-22",132.130005,134.080002,131.619995,133.979996,74783600,133.779556
"AAPL","2021-06-23",133.770004,134.320007,133.229996,133.699997,60214200,133.499985
"AAPL","2021-06-24",134.449997,134.639999,132.929993,133.410004,68711000,133.210419
"AAPL","2021-06-25",133.460007,133.889999,132.809998,133.110001,70783700,132.910873
"AAPL","2021-06-28",133.410004,135.25,133.350006,134.779999,62111300,134.578369
"AAPL","2021-06-29",134.800003,136.490005,134.350006,136.330002,64556100,136.126053
"AAPL","2021-06-30",136.169998,137.410004,135.869995,136.960007,63261400,136.755112
"AAPL","2021-07-01",136.600006,137.330002,135.759995,137.270004,52485800,137.064651
"AAPL","2021-07-02",137.899994,140,137.75,139.960007,78852600,139.750626
"AAPL","2021-07-06",140.070007,143.149994,140.070007,142.020004,108181800,141.807541
"AAPL","2021-07-07",143.539993,144.889999,142.660004,144.570007,104911600,144.353729
"AAPL","2021-07-08",141.580002,144.059998,140.669998,143.240005,105575500,143.025711
"AAPL","2021-07-09",142.75,145.649994,142.649994,145.110001,99890800,144.892914
"AAPL","2021-07-12",146.210007,146.320007,144,144.5,76299700,144.283829
"AAPL","2021-07-13",144.029999,147.460007,143.630005,145.639999,100827100,145.422119
"AAPL","2021-07-14",148.100006,149.570007,147.679993,149.149994,127050800,148.926865
"AAPL","2021-07-15",149.240005,150,147.089996,148.479996,106820300,148.257874
"AAPL","2021-07-16",148.460007,149.759995,145.880005,146.389999,93251400,146.17099
"AAPL","2021-07-19",143.75,144.070007,141.669998,142.449997,121434600,142.236893
"AAPL","2021-07-20",143.460007,147.100006,142.960007,146.149994,96350000,145.931351
"AAPL","2021-07-21",145.529999,146.130005,144.630005,145.399994,74993500,145.18248
"AAPL","2021-07-22",145.940002,148.199997,145.809998,146.800003,77338200,146.580383
"AAPL","2021-07-23",147.550003,148.720001,146.919998,148.559998,71447400,148.337753
"AAPL","2021-07-26",148.270004,149.830002,147.699997,148.990005,72434100,148.76712
"AAPL","2021-07-27",149.119995,149.210007,145.550003,146.770004,104818600,146.55043
"AAPL","2021-07-28",144.809998,146.970001,142.539993,144.979996,118931200,144.763107
"AAPL","2021-07-29",144.690002,146.550003,144.580002,145.639999,56699500,145.422119
"AAPL","2021-07-30",144.380005,146.330002,144.110001,145.860001,70382000,145.641785
"AAPL","2021-08-02",146.360001,146.949997,145.25,145.520004,62880000,145.302307
"AAPL","2021-08-03",145.809998,148.039993,145.179993,147.360001,64786600,147.139542
"AAPL","2021-08-04",147.270004,147.789993,146.279999,146.949997,56368300,146.730164
"AAPL","2021-08-05",146.979996,147.839996,146.169998,147.059998,46397700,146.839996
"AAPL","2021-08-06",146.350006,147.110001,145.630005,146.139999,54067400,146.139999
